Species,CommonName,Description
Brachirus panoides,,"A small Indo-Pacific tonguefish inhabiting sandy estuarine flats and lower rivers. Extremely laterally compressed, it buries in sediment and feeds on tiny crustaceans and worms. Spawning and larval drift are tied to tidal cycles. Sensitive to dredging and estuary infilling."
Campostoma ornatum,Mexican stoneroller,"The Mexican stoneroller of arid western Mexico and SW USA headwaters. With cartilaginous scraping ridges, it grazes algae on cobbles, often creating “grazing halos.” It schools in shallow riffles and spawns over clean gravel in spring. Groundwater depletion and fine sediment are primary stressors."
Catostomus cahita,Cahita sucker,"Yaqui sucker endemic to Sonora–Arizona drainages. Prefers deep pools and runs with moderate flow, sifting benthos and detritus. Spring spawning occurs over gravel bars; adults migrate within pool–riffle complexes. Water withdrawals and prolonged drought constrain recovery."
Centropomus ensiferus,Swordspine snook,"Swordspine snook of the tropical W Atlantic frequenting mangrove creeks and estuaries. A nocturnal ambush predator, it strikes small fishes and shrimp along structure. Adults move seasonally between estuaries and nearshore surf zones. Nursery loss from mangrove clearing reduces recruitment."
Centropomus parallelus,Fat snook,"Fat snook distributed from the Caribbean to SE Brazil. It uses mangrove–lagoon mosaics as nurseries, shifting offshore as it grows. Protandrous hermaphrodite populations require size structure for successful reproduction. Coastal development and gillnet effort affect stocks."
Centropomus poeyi,Mexican snook,"Cuban snook localized around Cuba and nearby Antilles. Ecology parallels congeners: crepuscular predator, estuarine juvenile phase, nearshore adult foraging. Its restricted range heightens risk to localized habitat damage. Bycatch regulations and mangrove protections benefit the species."
Cobitis kurui,,"Spined loach described from Anatolian streams with sandy backwaters. It is crepuscular, sifting fine sediments for chironomids and microcrustaceans. Seasonal hydrology drives short breeding windows with adhesive eggs under pebbles. Diversions that desiccate margins imperil populations."
Cobitis ohridana,,"Endemic to Lake Ohrid basin (N. Macedonia/Albania), occupying quiet littoral zones over sand and fine gravel. Slender, mottled body and subterminal barbels suit benthic foraging. It spawns in late spring among stones and macrophytes. Shoreline modification and invasive fishes are the main concerns."
Craterocephalus lentiginosus,Freckled hardyhead,Freckled hardyhead from northern Australia’s spring-fed creeks and floodplain pools. Forms tight shoals picking zooplankton and algae; freckling intensifies in adults. Multiple small spawning bouts occur through the warm season. Groundwater extraction threatens spring refugia.
Cyprinodon dearborni,,"Dearborn’s pupfish inhabits hypersaline ponds and coastal lagoons of the southern Caribbean. Highly tolerant of salinity and temperature swings, it grazes algae and invertebrates near the surface. Small, isolated demes exhibit rapid life cycles. Habitat filling and invasive poeciliids are risks."
Cyprinodon nazas,Nazas pupfish,"Endemic to the Nazas–Aguanaval basin (Mexico), occupying springs and slow, alkaline channels. Short-lived and fecund, it spawns repeatedly in warm months. Diet is primarily algal with supplemental micro-invertebrates. Spring capture and aquifer depletion caused severe range contractions."
Cyprinodon nichollsi,,Cuban pupfish of hypersaline coastal lagoons and salinas. Robust jaws scrape filamentous algae and diatoms; males defend small territories. Eggs adhere to vegetation and shells in very shallow water. Coastal works and pollution can rapidly degrade tiny habitats.
Etheostoma okaloosae,Okaloosa darter,"The Okaloosa darter, micro-endemic to six Florida Panhandle streams with clear, sandy riffles. Adults bury shallowly in shifting sand and feed on microcrustaceans; spawning occurs in spring. Intensive restoration (culvert removal, erosion control) improved status recently. It remains sensitive to sediment inputs."
Galaxias olidus,Mountain Galaxias,"Common galaxias of SE Australia inhabits cool creeks, bogs, and small lakes. Opportunistic insectivore with nocturnal activity; juveniles use woody debris for cover. Some populations are land-locked; others are amphidromous. Trout predation and catchment clearing reduce upland populations."
Galaxias truttaceus,Spotted mountain trout,"Spotted galaxias of Tasmania and southern mainland Australia, often amphidromous with estuarine larval phase. Adults occupy shaded, boulder-lined streams and forest lakes. Distinct leopard-like spotting provides camouflage. Weirs and trout introductions disrupt migrations and refuges."
Galaxias vulgaris,Common river galaxias,"Canterbury galaxias (NZ South Island), a non-migratory upland species. It prefers cool, shallow riffles and feeds on mayflies and midges. Fragmented by irrigation takes and trout, many subpopulations are tiny. Predator-free fencing and fish passage work aid recovery."
Garra barreimiae,,"Wadi Garra from Oman/UAE inhabits clear, seasonal wadis over bedrock and gravel. A mental adhesive disc allows station-holding in current while scraping algae. Populations survive droughts in bedrock pools. Over-abstraction and flash-flood scouring alter refuges."
Glossolepis multisquamata,Sepik rainbowfish,"Lake Sentani rainbowfish with high scale counts and orange-to-gold males. Occupies weedy littoral zones and slow inlets, schooling over submerged wood. It feeds on zooplankton and insect drift; egg-scatterer among vegetation. Exotics and shoreline siltation have reduced wild fish."
Kneria auriculata,Airbreathing shellear,Small African sabrefish relative from swift Congo tributaries. Lateral-line morphology and streamlined body suit high-energy runs where it picks drifting invertebrates. Schooling improves station-holding and predator avoidance. Logging and artisanal mining elevate turbidity.
Macrhybopsis aestivalis,Speckled chub,"Speckled chub of the Mississippi–Rio Grande basins, favoring broad sandy rivers. It is a pelagic broadcast spawner with semi-buoyant eggs adapted to long drift. Barbels and inferior mouth target benthic insects. Channelization and flow regulation reduce egg transport and habitat."
Macrhybopsis gelida,Sturgeon chub,"Sturgeon chub specializing on swift, shallow, turbid prairie rivers. Keel-like body and enlarged pectorals aid station-holding. It forages on aquatic insect larvae; eggs are semi-buoyant. Dams that dampen peak flows and trap sediment imperil recruitment."
Melanotaenia catherinae,Waigeo rainbowfish,Aru Islands rainbowfish inhabiting rainforest creeks with leaf-tannin staining. Males develop rich copper and emerald hues; groups browse microcrustaceans at mid-water. Adhesive eggs are laid daily among fine roots. Logging and drainage threaten headwater stability.
Melanotaenia exquisita,Exquisite rainbowfish,"“Exquisite” rainbowfish of northern Australia’s sandstone streams. Clear, fast runs and plunge pools host shoals that graze periphyton and zooplankton. Males show striking iridescent lateral bands in breeding condition. Water extraction and feral animals degrade riparian cover."
Melanotaenia fluviatilis,Murray River rainbowfish,"Murray–Darling rainbowfish common in lowland rivers, billabongs, and weir pools. Omnivorous and schooling, it thrives in warm, vegetated margins and spawns repeatedly in summer. It is a key prey item for native predators. Cold-water pollution and carp-driven turbidity reduce nursery habitat."
Melanotaenia praecox,Dwarf rainbowfish,"The dwarf neon rainbowfish from New Guinea’s Mamberamo system, celebrated for electric blue males and ruby fins. Inhabits clear forest streams with moderate current. Continuous trickle-spawner with adhesive eggs among fine plants. Over-collection and logging-related siltation threaten wild stocks."
Melanotaenia vanheurni,Van Heurn's rainbowfish,New Guinea rainbowfish of swampy lowland creeks and flooded forest. Feeds on microcrustaceans and insect larvae near the surface; forms small shoals. Breeds year-round in warm water with daily egg deposition. Peat swamp drainage and invasive fishes are key risks.
Notropis bifrenatus,Bridle shiner,"Bridle shiner from Atlantic slope lowlands (USA/Canada) inhabits vegetated backwaters and slow creeks. It grazes periphyton and picks small invertebrates among macrophytes. Highly sensitive to turbidity and flow alteration, it has declined across its range. Wetland loss is the principal driver."
Opsaridium zambezense,Barred minnow,"Minnow tigerfish of the Zambezi–Limpopo systems, an agile mid-water predator in clear rivers. Juveniles school; adults chase small fishes and large insects in runs and pools. It undertakes seasonal migrations to spawn on clean gravels. Sand abstraction and barriers disrupt life cycles."
Oregonichthys crameri,Oregon chub,"Oregon chub endemic to the Willamette Valley, USA, favoring slack off-channel ponds with dense vegetation. Short-lived and fecund, it feeds on zooplankton and aquatic insects. Intensive habitat restoration led to ESA delisting—an American conservation success. Persistence still depends on floodplain connectivity."
Pangasius bocourti,,"Channel Darter native to the Mekong basin; large, migratory, and omnivorous. Wild fish move seasonally with flood pulses; aquaculture now supplies most market demand. Wild stocks are affected by dams that truncate migrations and sand mining that alters channels. It remains a key food fish regionally."
Percina copelandi,Channel darter,"The channel darter is a small percid native to eastern North America, occurring in sandy or gravel runs of rivers and nearshore lake habitats. It feeds on insect larvae and small benthic invertebrates, using camouflage to blend into the substrate. Spawning occurs in spring, with males guarding small territories in shallow riffles. Siltation, damming, and invasive species have reduced many populations, making it a conservation concern."
Pimelodella laticeps,,"A small pimelodid catfish found in the Paraná and Uruguay basins of South America. It is nocturnal, hiding under debris or in burrows during the day, and feeds on aquatic insects and worms at night. Its long barbels aid foraging in turbid waters. Although widespread, it is vulnerable to habitat alteration from dams and pollution."
Pseudomyxus capensis,Freshwater mullet,"The estuarine pipefish endemic to South Africa’s coastal estuaries and lagoons. It lives among eelgrass beds and mangrove roots, feeding on small crustaceans. Males carry developing embryos in a brood pouch until hatching. Coastal development and estuary pollution pose major risks."
Rivulus cylindraceus,Green rivulus,"A killifish endemic to Cuba, inhabiting freshwater streams, ponds, and swamps with dense vegetation. It feeds on aquatic insects and small invertebrates, often near the water’s surface. Males are more brightly colored than females, especially during courtship. Localized habitat loss and pollution threaten populations."
Sabanejewia larvata,,"A small cobitid loach restricted to clear, gravelly rivers of northern Italy. It is nocturnal and feeds on insect larvae and small benthic organisms by burrowing in sand. Spawning occurs in spring, with eggs deposited among gravels. Dams and agricultural runoff have caused significant declines."
Schizothorax curvifrons,Sattar snowtrout,"Known as the Kashmir snow trout, it is found in cold, fast-flowing rivers and lakes of the Himalayas. It feeds mainly on algae and benthic invertebrates, scraping food with its horny jaws. It is an important fishery resource in Kashmir, though overharvest and habitat degradation threaten stocks. Climate change and glacier retreat further stress its range."
Squalius carolitertii,Bordallo,"A cyprinid endemic to Iberian rivers (Portugal and Spain), often inhabiting fast-flowing, rocky streams. It is omnivorous, feeding on algae, insects, and detritus, and shows seasonal shifts in diet. It plays a role in freshwater food webs as both grazer and prey. Water pollution and droughts threaten riverine populations."
Alepidomus evermanni,,"A rare characin from Central America, recorded in rivers with slow-moving or still waters. It feeds on aquatic insects and small crustaceans. Little is known about its life history, but it likely forms schools during the wet season. Habitat degradation and pollution are suspected threats."
Astroblepus cyclopus,,A climbing catfish found in Andean streams of Colombia and Ecuador. It uses modified pelvic fins and a sucker-like mouth to cling to rocks and even climb waterfalls. It feeds on algae and insect larvae in high-gradient streams. Deforestation and sedimentation threaten these sensitive habitats.
Astroblepus grixalvii,,"Another Andean catfish species occurring in Colombia, Ecuador, and Peru. It prefers cold, clear mountain streams and feeds on periphyton and aquatic insects. Its climbing ability allows access to habitats less available to competitors. Mining and watershed degradation are increasing pressures."
Bhavania australis,Western Ghat loach,"A hillstream loach from the Western Ghats, India, inhabiting torrential streams with rocky substrates. Its flattened body and adhesive mouth allow it to cling to stones in fast currents. It grazes on algae and detritus. Hydroelectric development and deforestation threaten its restricted range."
Brycinus lateralis,Stripped robber,"A characin widely distributed in Central and East Africa, occurring in rivers, lakes, and floodplains. It forms schools and feeds opportunistically on insects, plankton, and small fish. It is ecologically important as prey for larger piscivores. Overfishing and habitat degradation impact some populations."
Brycinus sadleri,Sadler's robber,"Found in Lake Victoria and surrounding rivers, this species inhabits shallow inshore zones. It is a fast-growing shoaling fish that feeds on insects and crustaceans. It is important in artisanal fisheries. Declines have been noted due to Nile perch predation and water quality deterioration."
Clupeonella caspia,Caspian tyulka,"The Caspian sprat is a small pelagic fish endemic to the Caspian Sea. It forms large schools, feeding on zooplankton and serving as prey for commercial species like sturgeons. Spawning occurs offshore in spring and summer. Pollution, invasive species, and overfishing have reduced stocks."
Craterocephalus amniculus,Darling river hardyhead,"The Darling River hardyhead of inland Australia, found in small streams and waterholes. It is omnivorous, feeding on algae, insects, and zooplankton. Populations fluctuate greatly with drought and flooding cycles. Water diversion and invasive species such as Gambusia threaten its persistence."
Craterocephalus cuneiceps,Deep hardyhead,"The purple-spotted hardyhead of northern Australia inhabits rivers, floodplains, and billabongs. It is shoaling and feeds on algae, detritus, and zooplankton. Distinctive purplish body spots are more vivid in breeding males. Habitat alteration from grazing and water extraction impacts populations."
Craterocephalus stercusmuscarum,Fly-specked hardyhead,"Known as the fly-specked hardyhead, common in coastal rivers and lagoons of northern Australia. It tolerates a wide salinity range, from fresh to brackish. It feeds on small insects and algae, spawning multiple times in summer. It remains abundant but is sensitive to water quality decline."
Craterocephalus stramineus,Blackmast,"The blackmast hardyhead occurs in Australia’s inland rivers, forming large shoals in turbid channels. It is an omnivore, feeding on algae, zooplankton, and detritus. It spawns in shallow vegetated zones during floods. River regulation and invasive carp compete for resources."
Dayella malabarica,Day's round herring,"A small cyprinid endemic to Kerala, India, usually inhabiting shaded hill streams. It feeds on periphyton and insect larvae. It is rare and has a very restricted range, making it vulnerable to habitat destruction. Agricultural runoff and stream modification are key threats."
Epiplatys infrafasciatus,,"A killifish distributed across West Africa in forest streams, swamps, and floodplains. It is surface-oriented, feeding on insects and mosquito larvae. Its striking coloration makes it popular in the aquarium trade. Deforestation and swamp drainage threaten natural populations."
Galaxias arcanus,Riffle Galaxias,"A recently described galaxias from Tasmania, restricted to cool, clear mountain streams. It feeds on aquatic insects and crustaceans. As a non-migratory species, it is highly vulnerable to predation by introduced trout. Its limited distribution increases its conservation concern."
Galaxias oliros,Obscure Galaxias,"Flathead galaxias of southeast Australia inhabits slow streams and floodplain wetlands. It feeds on insect larvae and small crustaceans, and breeds in late winter. It is now rare due to wetland drainage and competition with introduced fish. Conservation efforts include captive breeding and reintroduction."
Galaxias ornatus,Ornate Galaxias,"The ornate galaxias is native to Victoria, Australia, and occupies cool upland creeks. Its patterned body provides camouflage against cobbles. It spawns in spring, with adhesive eggs deposited under stones. Habitat fragmentation and trout predation are significant threats."
Haludaria fasciata,Melon barb,"Known as the melon barb, it is a colorful cyprinid from the Western Ghats, India. It inhabits clear, fast streams and feeds on algae and small insects. It is widely kept in aquaria for its red and black striped pattern. Wild populations are declining from deforestation and water extraction."
Hydrocynus forskahlii,Elongate tigerfish,"The elongate tigerfish of African rivers, including the Nile and Niger systems. It is a powerful predator with sharp teeth, feeding mainly on smaller fish. It plays a key ecological role as a top predator. Overfishing and damming have affected local stocks."
Lefua echigonia,,"A cold-water loach native to Japan, inhabiting mountain streams with sandy bottoms. It burrows into substrate during winter, a unique adaptation among loaches. It feeds on insect larvae and worms. Stream channelization and pollution threaten local populations."
Lovettia sealii,Tasmanian whitebait,"The Tasmanian whitebait, a galaxiid that migrates between rivers and the sea. Adults spawn in estuaries, and larvae drift to marine waters before returning. Once a commercial fishery, it collapsed due to overharvest and habitat loss. It is now protected, though still vulnerable."
Nothobranchius kafuensis,Kafue killifish,"A seasonal killifish native to ephemeral pools of Zambia’s Kafue Basin. It completes its life cycle in months, with drought-resistant eggs that survive dry seasons. Males are brilliantly colored, while females are cryptic. Habitat loss from agriculture and climate variability threaten its survival."
Oxynoemacheilus bureschi,Bulgarian stone loach,"A stone loach endemic to Balkan rivers in Bulgaria and Greece. It inhabits riffles and gravel beds with clean, fast-flowing water. It feeds on benthic invertebrates such as insect larvae and small mollusks. Pollution and water extraction have reduced its habitat quality."
Phoxinus septimaniae,,"A small minnow endemic to southern France, restricted to a few rivers. It inhabits cool, clear streams and feeds on invertebrates and algae. Its restricted range makes it highly vulnerable to droughts and water pollution. Conservation action is needed to maintain its habitats."
Rasbora labiosa,,"A cyprinid from Myanmar and Thailand, inhabiting slow-flowing forest streams and ponds. It is peaceful, shoaling, and feeds on small insects and plankton. Its bright coloration makes it common in aquaria. Logging and agricultural runoff reduce water quality in its habitats."
Retropinna tasmanica,Tasmanian smelt,"The Tasmanian smelt, a small schooling fish inhabiting estuaries and rivers. It is surface-oriented, feeding on plankton and insect larvae. Spawning occurs in spring, with larvae drifting downstream. Water abstraction and invasive trout impact populations."
Scardinius hesperidicus,,"A rudd species restricted to Italian lakes and slow rivers. It is herbivorous, feeding mainly on macrophytes and algae. Brightly colored fins make it distinctive in clear waters. Introductions of exotic fishes and eutrophication threaten its survival."
Toxotes kimberleyensis,Kimberley archerfish,"The Kimberley archerfish of northern Australia, inhabiting clear rivers and tidal creeks. Like other archerfish, it shoots jets of water to knock insects from vegetation. Juveniles use mangrove nurseries, while adults occupy rocky pools. It is sensitive to altered flows and mining impacts."
Allomogurnda nesolepis,Yellowbelly gudgeon,"A gudgeon endemic to Papua New Guinea, found in clear upland streams. It feeds on aquatic insects and crustaceans, staying close to the substrate. Males guard nests under stones during breeding. Deforestation and mining sediment threaten headwaters."
Ambassis agassizii,Agassiz's glassfish,"The olive perchlet from Australia inhabits rivers, lakes, and estuaries. It is small and translucent, forming shoals that feed on plankton and insect larvae. Once widespread, it has declined severely due to habitat loss and invasive predators. Recovery programs have reintroduced it into restored wetlands."
Astatheros macracanthus,Blackthroat cichlid,"A Central American cichlid inhabiting rivers of Mexico and Guatemala. It is omnivorous, feeding on algae, detritus, and small invertebrates. Males develop long fin extensions during breeding and guard territories aggressively. Deforestation and agricultural pollution threaten rivers it inhabits."
Brachirus villosus,Velvety sole,"A tonguefish native to Indo-Pacific estuaries, living on sandy and muddy substrates. It buries itself to ambush small invertebrates and worms. Its flat body and mottled coloration provide excellent camouflage. Coastal dredging and estuarine modification affect populations."
Catostomus bernardini,Yaqui sucker,"Known as the Rio Grande sucker, endemic to tributaries in New Mexico. It feeds on algae and detritus, using fleshy lips to scrape rocks. Spawning takes place in shallow riffles during spring. Water withdrawals and habitat degradation have made it rare."
Cobitis maroccana,,"A loach endemic to Morocco, occurring in small rivers and streams with sandy bottoms. It is cryptic and burrows into sediment by day, emerging to feed on insect larvae at night. It has a highly fragmented distribution. Agricultural pollution and water abstraction endanger it."
Cottus klamathensis,Marbled sculpin,"The Klamath sculpin from Oregon and northern California inhabits rocky streams and lakeshores. It is benthic, feeding on aquatic insects and crustaceans. It spawns in spring, with males guarding eggs under stones. Altered flow regimes and introduced species are concerns."
Cubanichthys cubensis,Cuban killifish,"A small killifish endemic to Cuba, occupying swamps, ponds, and slow streams. It feeds on insect larvae and detritus, helping control mosquito populations. Males show bright colors and courtship displays. Habitat loss and invasive species like Gambusia threaten it."
Cyprinella proserpina,Proserpine shiner,"The proserpine shiner of Mexico inhabits clear, spring-fed streams with rocky substrates. It is a small schooling fish that feeds on insects and algae. Its distribution is highly restricted, making it vulnerable to water extraction. It is considered endangered."
Etheostoma mariae,Pinewoods darter,"The spotted darter of the Ohio River drainage inhabits swift, rocky riffles. It is colorful, with males displaying bright orange and blue patterns during spawning. It feeds on aquatic insects and spawns in gravel crevices. Habitat fragmentation has reduced its range."
Gambusia hispaniolae,Hispaniolan gambusia,"Endemic to Hispaniola, this mosquitofish occupies rivers, ditches, and lakes. It is a surface-feeding livebearer that consumes mosquito larvae and algae. Females give birth to multiple broods annually. Deforestation and wetland drainage affect populations."
Gambusia manni,,"Found in Cuba and the Bahamas, inhabiting vegetated streams and brackish lagoons. It feeds on insects and detritus, reproducing viviparously. It is hardy and adaptable but threatened by pollution and invasive predators."
Gambusia punctata,Cuban gambusia,"A Cuban livebearer inhabiting freshwater streams and coastal lagoons. It is opportunistic, feeding on insects and algae. Its tolerance of varied salinity allows it to thrive in disturbed habitats. Habitat modification and introduced species pose risks."
Gambusia speciosa,Tex-Mex gambusia,"Known as the Tex-Mex gambusia, native to the Rio Grande basin. It lives in vegetated margins of springs and streams, feeding on insects and plankton. Its restricted distribution has made it vulnerable, and it is now considered endangered. Conservation relies on spring habitat protection."
Glossogobius coatesi,Coates' goby,"A freshwater goby native to Papua New Guinea, typically found in rivers and streams with sandy or muddy substrates. It feeds on small crustaceans and insect larvae and is adapted to both clear and turbid waters. Its ecological role is significant in maintaining aquatic food chains."
Glossogobius koragensis,Koragu tank goby,"Endemic to Papua New Guinea, this goby inhabits streams with moderate flow and rocky substrates. It uses camouflage to blend with the substrate and feeds mainly on benthic invertebrates. It is considered important in balancing stream ecosystems."
Glossogobius torrentis,White water goby,"Found in fast-flowing streams, this goby clings to rocks using fused pelvic fins. It consumes aquatic insects and small crustaceans drifting in the current. Its presence indicates clean, well-oxygenated waters."
Gobiomorphus cotidianus,Common bully,"Known as the common bully, it is one of New Zealand’s most widespread freshwater fish. It thrives in lakes and rivers, feeding on insect larvae and crustaceans, while serving as prey for larger fish and birds. It plays a vital role in freshwater ecosystems."
Haplochromis paropius,,A Lake Victoria cichlid that is part of the adaptive Haplochromine radiation. It has specialized jaw morphology for scraping algae and feeding on invertebrates. Populations have been threatened by the introduction of Nile perch and habitat degradation.
Mogurnda aurifodinae,Northern mogurnda,"A gudgeon native to Papua New Guinea, often found in streams with sandy or rocky substrates. It is benthic, feeding on aquatic insect larvae, worms, and small crustaceans. Its adaptability to varying habitats highlights its ecological resilience."
Mogurnda pulchra,Moresby mogurnda,"Also called the beautiful mogurnda, it is endemic to Queensland, Australia. It prefers clear, vegetated streams and is an opportunistic feeder. It is popular in the aquarium trade due to its bright coloration."
Mugilogobius notospilus,Freshwater mangrovegoby,"A small goby inhabiting Southeast Asian freshwater and estuarine systems. It lives in shallow waters with vegetation, feeding on zooplankton and detritus. Its ecological importance lies in serving as prey for larger predators."
Mystus armatus,Kerala mystus,"A catfish found in South and Southeast Asia, common in rivers and reservoirs. It is carnivorous, feeding on insects, crustaceans, and small fish. It also holds value in local fisheries."
Oxyeleotris paucipora,Fewpored gudgeon,"A rare sleeper goby from Papua New Guinea, inhabiting sluggish rivers and swampy areas. It preys on small fish and crustaceans, with a distribution limited to specific habitats. Its rarity makes it sensitive to environmental change."
Paragobiocichla irvinei,Cichlid,"A cichlid native to West Africa, adapted to fast-flowing river habitats. It grazes on algae and invertebrates and clings to rocks using strong fins. It helps regulate algal growth in river ecosystems."
Wajpamheros nourissati,Bluemouth cichlid,"Endemic to southern Mexico, this cichlid inhabits rocky rivers. It exhibits advanced parental care, guarding both eggs and fry. Its vibrant appearance has made it a valued aquarium fish."
Zappa confluentus,Slender mudskipper,A small fish restricted to brackish and freshwater habitats of New Guinea. It feeds on plankton and small invertebrates in river deltas and estuaries. Its narrow distribution makes it vulnerable to habitat pollution.
Zenarchopterus kampeni,Sepik River halfbeak,A halfbeak from Southeast Asia inhabiting brackish and coastal waters. It is surface-dwelling and feeds on insects and plant matter. Its elongated lower jaw helps it snap at food items drifting on the surface.
Allomogurnda landfordorum,,"A gudgeon from Papua New Guinea, inhabiting clear freshwater streams with rocky substrates. It feeds mainly on aquatic insects, worms, and small crustaceans. Its limited range makes it vulnerable to habitat degradation caused by logging and mining activities."
Allomogurnda papua,,"Endemic to Papua New Guinea, this gudgeon thrives in shallow streams and river margins. It has a benthic lifestyle, foraging along the substrate for invertebrates. Restricted to localized habitats, it is considered at risk from water pollution."
Amblypharyngodon melettinus,Attentive carplet,"A small cyprinid distributed in India and Sri Lanka. It inhabits ponds, rivers, and irrigation canals, feeding on plankton and detritus. It is often used as a forage fish in aquaculture and local fisheries."
Ancistrus chagresi,,"A loricariid catfish from Central America, found in rivers with strong currents. It uses its sucker mouth to graze algae from rocks and submerged wood. Its armored body and nocturnal habits provide protection against predators."
Ancistrus clementinae,,"Native to Ecuador, this armored catfish inhabits Andean streams with rocky beds. It is herbivorous, scraping algae and biofilm for food. The species contributes to stream ecology by controlling algal growth."
Apareiodon hasemani,,"A South American freshwater fish inhabiting rivers with moderate currents. It is a detritivore, feeding on organic matter and algae. Its ecological role is linked to nutrient cycling within river systems."
Apistogramma intermedia,,"A dwarf cichlid from the Amazon basin, found in slow-moving, tannin-rich waters. It is territorial, with males defending small areas during breeding. Popular in the aquarium trade, it requires specific water chemistry to thrive."
Astroblepus simonsii,,"A catfish native to Andean streams, adapted to fast-flowing, oxygen-rich environments. Its sucker mouth allows it to cling to rocks in torrents. It feeds on aquatic invertebrates and plays a role in stream food webs."
Astyanax angustifrons,,"A characin from South America inhabiting rivers and floodplains. It is omnivorous, consuming insects, algae, and plant debris. Like other Astyanax, it is important in local food chains and is resilient to habitat changes."
Astyanax finitimus,Veracruz tetra,"Endemic to Panama, this small characin lives in freshwater rivers and streams. It feeds opportunistically on insects and detritus. Its restricted distribution makes it potentially vulnerable to habitat alteration."
Astyanax nicaraguensis,,"Found in Nicaraguan freshwater systems, this species adapts to lakes and rivers. It is omnivorous, feeding on insects, algae, and small crustaceans. It is locally important as both forage and aquarium fish."
Astyanax panamensis,Panamanian tetra,"A species native to Panama, inhabiting rivers with moderate flow. It feeds on insects, worms, and plant matter, making it ecologically versatile. Its adaptability has allowed it to persist despite localized environmental changes."
Atherinella chagresi,,"A silverside native to Central America, occurring in freshwater and brackish waters. It forms schools and feeds on plankton and small insects. It contributes to food webs as prey for larger fish and birds."
Australoheros muriae,,"A cichlid from South America, inhabiting rivers and streams with dense vegetation. It is omnivorous and shows strong parental care, with pairs guarding their offspring. Its adaptability makes it suitable for aquariums."
Australoheros perdi,,"Closely related to A. muriae, this cichlid inhabits similar freshwater habitats in South America. It has a broad diet of algae, insects, and detritus. The species is recognized for its tolerance to varying water quality."
Bagrus orientalis,,"A large bagrid catfish native to East Africa, found in lakes and rivers such as Lake Victoria. It is a nocturnal predator that feeds on smaller fish and crustaceans. Valued as a food fish, it plays an important role in local fisheries but faces pressure from overfishing and habitat degradation."
Brachyhypopomus menezesi,,"A South American knifefish inhabiting slow-moving rivers and floodplains. It uses electric signals for communication and navigation, especially in murky waters. Feeding on insect larvae and small invertebrates, it is ecologically important in tropical floodplain food webs."
Brycon atrocaudatus,,"A characin from Colombia and Venezuela, common in fast-flowing rivers. It is omnivorous, consuming fruits, seeds, and insects, and thus contributes to seed dispersal. Its ecological role links terrestrial and aquatic ecosystems."
Brycon costaricensis,,"Found in Central American rivers, this characin thrives in clear, fast-flowing waters. It is omnivorous, feeding on fruits, insects, and algae, and is an important prey item for larger fish. Populations are threatened by deforestation and dam construction."
Bryconamericus bucayensis,,"A small characin native to Ecuadorian streams and rivers. It feeds mainly on aquatic insects and detritus. While not commercially significant, it is ecologically important as prey for larger species."
Bunocephalus larai,,"A banjo catfish from South America, living in sandy or muddy river bottoms. Its flattened body provides camouflage, while it scavenges detritus and small invertebrates. It plays a role in nutrient recycling in river ecosystems."
Campostoma pauciradii,Bluefin stoneroller,"A North American minnow that inhabits streams and small rivers with gravel bottoms. It is herbivorous, scraping algae from rocks with its specialized jaws. It is ecologically important as a primary consumer in freshwater systems."
Carasobarbus fritschii,,"Endemic to Morocco, this cyprinid inhabits rivers and streams with rocky substrates. It feeds on algae, aquatic plants, and small invertebrates. Due to its restricted range, it is vulnerable to habitat loss and water extraction."
Catostomus clarkii,Desert sucker,"Known as the desert sucker, it is native to the Colorado River basin in the U.S. It thrives in swift-flowing streams and grazes algae and detritus from rocks. It is tolerant of fluctuating water levels but is impacted by habitat modification."
Catostomus discobolus,Bluehead sucker,"Also called the bluehead sucker, this species is distributed in the upper Colorado and Green River systems. It has a specialized head shape for scraping algae from rocks. Populations are threatened by water diversion and invasive species."
Catostomus latipinnis,Flannelmouth sucker,"The flannelmouth sucker inhabits the Colorado River and its tributaries. It grows relatively large and feeds on algae, detritus, and benthic invertebrates. Conservation programs monitor its populations due to declining habitats."
Cephalosilurus fowleri,,A giant predatory catfish from the Amazon basin. It lives in deep river channels and preys on fish and large aquatic organisms. It is less studied but noted for its ecological role as a top predator.
Characidium lagosantense,,"A small darter-like characin native to South America. It inhabits clear, fast-flowing streams and feeds on aquatic insects. Its cryptic coloration helps it blend with gravel substrates."
Characidium marshi,,"Another small characin found in South American streams, adapted to benthic living. It feeds on insect larvae and plays an important role in controlling aquatic invertebrate populations. It is sensitive to water quality changes."
Chelaethiops bibie,Lake Turkana sardine,A small African cyprinid inhabiting rivers and floodplains. It feeds on plankton and small insects and often forms large schools. It provides food for many larger fishes and aquatic birds.
Chilatherina crassispinosa,Silver rainbowfish,"A rainbowfish from New Guinea, living in clear, fast-flowing streams. It is noted for its bright colors and active schooling behavior. Its popularity in the aquarium trade is balanced by concerns about habitat degradation."
Cincelichthys pearsei,Pantano cichlid,"A cichlid from rivers in Central America, often associated with rocky habitats. It is omnivorous and shows strong parental care, guarding eggs and fry. It is valued in aquaculture and the aquarium trade."
Compsura gorgonae,,"A small fish endemic to Gorgona Island off Colombia. It inhabits freshwater streams and has a restricted range, making it highly vulnerable. Its biology is poorly studied, but it likely feeds on small invertebrates."
